commune,id,nom,adresse,ien,niveau,descriptif,page,ENS.CL.MA_nbV,ENS.CL.ELE_nbV,T.R.S._nbV,ENS.CL.MA_nbSV,ENS.CL.ELE_nbSV,T.R.S._nbSV
MURET,*0311240E*,EREA,40 AVENUE LOUIS PASTEUR MURET Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 11 MURET,EREA,;1556 DIRECTEUR DIR DIRECTION 100 %      1.00;2729 E1D SPE       IS   OPTION F 100 %  2.00    2.00,114,NA,NA,NA,NA,NA,NA
MURET,*0310710D*,E.P.PU BERNARD MARIS,1 RUE DE L'EGLISE MURET Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 11 MURET,E.P.PU,;148 DIR.EC.ELE 0119 4 CLASSES 100 %           1.00;1719 ENS.CL.ELE ECEL SANS SPEC.100 %            2.00;2371 ENS.CL.MA ECMA SANS SPEC.100 %             1.00,114,NA,NA,NA,1,2,NA
MURET,*0311320S*,SEGPA CLG LOUISA PAULIN,RUE DU COMMANDANT MONTALEGRE MURET Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 20 TLSE ASH1,SEGPA,;2733 E1D SEGPA ISES OPTION F 100 %      2.00    2.00,114,NA,NA,NA,NA,NA,NA
MURET,*0311339M*,IEN     HAUTE GARONNE 11 MURET,15 RUE MARECHAL LYAUTEY MURET Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 11 MURET,IEN,;1450 CP.ADJ.IEN CPC SANS SPEC.100 %             1.00;1477 CP.EPS        CPEP SANS SPEC.100 %         1.00,114,NA,NA,NA,NA,NA,NA
MURET,*0312493S*,E.P.PU JEAN MERMOZ,20 RUE DU MARECHAL LYAUTEY MURET Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 11 MURET,E.P.PU,;482 DIR.EC.ELE 0119 17 CLASSES100 %           1.00;1084 TIT.R.ZIL 2584 SANS SPEC.100 %             1.00;1297 TIT.R.BRIG 2585 SANS SPEC.100 %            1.00 REMP EN FC + MALADIE;1964 ENS.CL.ELE ECEL SANS SPEC.100 %           10.00;2613 ENS.CL.MA ECMA SANS SPEC.100 %             6.00;2780 MA.G.RES      MGR OPTION G 100 %           1.00;2904 PSY.RESEAU PSYR SANS SPEC.100 %            1.00;2949 REG.ADAP      RGA OPTION E 100 %           1.00,115,NA,NA,NA,6,10,NA
MURET,*0311598U*,E.E.PU LE BARRY,5 RUE JEAN LESTRADE MURET Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 11 MURET,E.E.PU,;382 DIR.EC.ELE 0119 11 CLASSES100 %   1.00;990 TIT.R.ZIL 2584 SANS SPEC.100 %            1.00;1840 ENS.CL.ELE ECEL SANS SPEC.100 %    1.00    9.00,115,NA,1,NA,NA,9,NA
MURET,*0311558A*,E.M.PU LE BARRY,3 RUE JEAN LESTRADE MURET Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 11 MURET,E.M.PU,;728 DIR.EC.MAT 0121 6 CLASSES 100 %           1.00;2441 ENS.CL.MA ECMA SANS SPEC.100 %             5.00,115,NA,NA,NA,5,NA,NA
MURET,*0311834A*,IME    LÉON DEBAT-PONSAN,116 AVENUE LOUIS PASTEUR MURET Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 20 TLSE ASH1,IME,;2692 ENS.CL.SPE ECSP OPTION D 100 %             2.00,115,NA,NA,NA,NA,NA,NA
MURET,*0310709C*,E.M.PU OX,15 RUE DE GASCOGNE MURET Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 11 MURET,E.M.PU,;538 DIR.EC.MAT 0121 3 CLASSES 100 %           1.00;2370 ENS.CL.MA ECMA SANS SPEC.100 %             2.00,115,NA,NA,NA,2,NA,NA
MURET,*0310711E*,E.E.PU PIERRE FONS,36 RUE NOTRE DAME MURET Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 11 MURET,E.E.PU,;373 DIR.EC.ELE 0119 11 CLASSES100 %           1.00;924 TIT.R.ZIL 2584 SANS SPEC.100 %            1.00;1162 TIT.R.BRIG 2585 SANS SPEC.100 %    1.00,115,NA,NA,NA,NA,NA,NA
MURET,*0310711E*,E.E.PU PIERRE FONS,36 RUE NOTRE DAME MURET Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 11 MURET,E.E.PU,;1381 CLIS.1.MEN CHME OPTION D 100 %             1.00;1720 ENS.CL.ELE ECEL SANS SPEC.100 %            9.00,116,NA,NA,NA,NA,9,NA
MURET,*0310177Z*,E.M.PU PIERRE FONS,44 RUE NOTRE DAME MURET Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 11 MURET,E.M.PU,;712 DIR.EC.MAT 0121 6 CLASSES 100 %           1.00;2257 ENS.CL.MA ECMA SANS SPEC.100 %     1.00    4.00,116,1,NA,NA,4,NA,NA
MURET,*0312095J*,E.E.PU SAINT-EXUPÉRY,SQUARE SAINT-EXUPERY MURET Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 11 MURET,E.E.PU,;311 DIR.EC.ELE 0119 8 CLASSES 100 %   1.00;1033 TIT.R.ZIL 2584 SANS SPEC.100 %     1.00;1258 TIT.R.BRIG 2585 SANS SPEC.100 %    1.00    1.00 REMP EN FC + MALADIE;1405 CLIS.1.MEN CHME OPTION D 100 %             1.00;1895 ENS.CL.ELE ECEL SANS SPEC.100 %    2.00    4.00,116,NA,2,NA,NA,4,NA
MURET,*0310178A*,E.M.PU SAINT-EXUPÉRY,2 SQUARE JEAN GAUBAN MURET Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 11 MURET,E.M.PU,;575 DIR.EC.MAT 0121 4 CLASSES 100 %           1.00;2258 ENS.CL.MA ECMA SANS SPEC.100 %             3.00,116,NA,NA,NA,3,NA,NA
MURET,*0310714H*,E.E.PU VASCONIA,7 PLACE DE LAYRISSON MURET Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 11 MURET,E.E.PU,;288 DIR.EC.ELE 0119 8 CLASSES 100 %   1.00;925 TIT.R.ZIL 2584 SANS SPEC.100 %            1.00;1721 ENS.CL.ELE ECEL SANS SPEC.100 %            7.00;2841 PSY.RESEAU PSYR SANS SPEC.100 %            1.00,116,NA,NA,NA,NA,7,NA
MURET,*0311777N*,E.M.PU VASCONIA,35 RUE GUSTAVE SAINT-JEAN MURET Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 11 MURET,E.M.PU,;686 DIR.EC.MAT 0121 5 CLASSES 100 %           1.00;2503 ENS.CL.MA ECMA SANS SPEC.100 %             4.00,116,NA,NA,NA,4,NA,NA
MURET,*0312230F*,E.E.PU ÉLIDA HUGON,10 RUE DE CAZAUX MURET Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 11 MURET,E.E.PU,;270 DIR.EC.ELE 0119 7 CLASSES 100 %           1.00;865 REMP.ST.LO 2558 SANS SPEC.100 %   1.00 REMPLACEMENT EN ASH;1932 ENS.CL.ELE ECEL SANS SPEC.100 %            4.00;2162 ENS.CL.ELE ECEL ANGLAIS      100 %         1.00;2721 UPEA         IEEL PRIMO ARRI100 %          1.00,117,NA,NA,NA,NA,1,NA
MURET,*0312234K*,E.M.PU ÉLIDA HUGON,10 RUE DE CAZAUX MURET Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 11 MURET,E.M.PU,;562 DIR.EC.MAT 0121 3 CLASSES 100 %           1.00;2583 ENS.CL.MA ECMA SANS SPEC.100 %             2.00,117,NA,NA,NA,2,NA,NA
NAILLOUX,*0310715J*,E.E.PU JEAN ROSTAND,1 RUE JULES FERRY NAILLOUX Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 9 VILLEFRANCHE DE LAUI,E.E.PU,;441 DIR.EC.ELE 0119 14 CLASSES100 %           1.00;856 REMP.ST.LO 2558 SANS SPEC.100 %   1.00   REMPLACEMENT EN ASH;926 TIT.R.ZIL 2584 SANS SPEC.100 %            1.00;1163 TIT.R.BRIG 2585 SANS SPEC.100 %    1.00 REMP EN FC + MALADIE;1382 CLIS.1.MEN CHME OPTION D 100 %     1.00;1722 ENS.CL.ELE ECEL SANS SPEC.100 %    1.00    9.00;2068 ENS.CL.ELE ECEL ANGLAIS      100 %         2.00;2842 PSY.RESEAU PSYR SANS SPEC.100 %    1.00,117,NA,NA,NA,NA,2,NA
NAILLOUX,*0312751X*,E.M.PU PAULINE KERGOMARD,RUE ROBERT ESTRADE NAILLOUX Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 9 VILLEFRANCHE DE LAUI,E.M.PU,;778 DIR.EC.MAT 0121 7 CLASSES 100 %   1.00;2642 ENS.CL.MA ECMA SANS SPEC.100 %             6.00,117,NA,NA,NA,6,NA,NA
NOE,*0310718M*,E.E.PU,2 RUE DU CHATEAU D'EAU NOE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 12 RIEUX-VOLVES,E.E.PU,;289 DIR.EC.ELE 0119 8 CLASSES 100 %           1.00;927 TIT.R.ZIL 2584 SANS SPEC.100 %            1.00;1723 ENS.CL.ELE ECEL SANS SPEC.100 %            3.00;2069 ENS.CL.ELE ECEL ANGLAIS      100 %         4.00,117,NA,NA,NA,NA,4,NA
NOE,*0311698C*,E.M.PU,1 RUE DU CHATEAU D'EAU NOE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 12 RIEUX-VOLVES,E.M.PU,;680 DIR.EC.MAT 0121 5 CLASSES 100 %           1.00;2481 ENS.CL.MA ECMA SANS SPEC.100 %            3.00,118,NA,NA,NA,3,NA,NA
NOUEILLES,*0310721R*,E.E.PU,VILLAGE NOUEILLES Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 9 VILLEFRANCHE DE LAUI,E.E.PU,;111 DIR.EC.ELE 0119 3 CLASSES 100 %           1.00;1724 ENS.CL.ELE ECEL SANS SPEC.100 %           1.00;2070 ENS.CL.ELE ECEL ANGLAIS      100 %        1.00,118,NA,NA,1,NA,NA,9
ODARS,*0310722S*,E.P.PU,366 CHEMIN SAINT-PAPOUL ODARS Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 10 CASTANET-TOLO,E.P.PU,;181 DIR.EC.ELE 0119 5 CLASSES 100 %           1.00;1725 ENS.CL.ELE ECEL SANS SPEC.100 %           2.00;2372 ENS.CL.MA ECMA SANS SPEC.100 %     1.00   1.00,118,1,NA,1,1,NA,10
ONDES,*0310723T*,E.E.PU,2 RUE DE L'EGLISE ONDES Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 23 GRENADE,E.E.PU,;112 DIR.EC.ELE 0119 3 CLASSES 100 %           1.00;1726 ENS.CL.ELE ECEL SANS SPEC.100 %           2.00,118,NA,NA,NA,NA,NA,NA
OO,*0310724U*,E.E.PU,VILLAGE OO Midi-Pyrenees France,IEN:IEN HAUTE-GARONNE 25 HAUT COMMINGES,E.E.PU,;30 DIR.EC.ELE 0119 1 CLASSE 100 %            1.00,118,NA,NA,NA,NA,NA,NA
PALAMINY,*0310727X*,E.E.PU,3 BIS CHEMIN DU FRAY PALAMINY Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 12 RIEUX-VOLVES,E.E.PU,;113 DIR.EC.ELE 0119 3 CLASSES 100 %    1.00;1727 ENS.CL.ELE ECEL SANS SPEC.100 %           2.00,118,NA,NA,NA,NA,NA,6
PAULHAC,*0310728Y*,E.P.PU GÉRARD LANG,VILLAGE PAULHAC Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 8 LANTA,E.P.PU,;245 DIR.EC.ELE 0119 7 CLASSES 100 %            1.00;1728 ENS.CL.ELE ECEL SANS SPEC.100 %            4.00;2373 ENS.CL.MA ECMA SANS SPEC.100 %             2.00,119,NA,NA,NA,2,4,7
PECHABOU,*0312075M*,E.M.PU LE PETIT PRINCE,CHEMIN DE LA CASTAGNERE PECHABOU Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 10 CASTANET-TOLO,E.M.PU,;624 DIR.EC.MAT 0121 4 CLASSES 100 %            1.00;2554 ENS.CL.MA ECMA SANS SPEC.100 %             3.00,119,NA,NA,NA,3,NA,7
PECHABOU,*0310730A*,E.E.PU SAINT-EXUPÉRY,29 AVENUE D'OCCITANIE PECHABOU Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 10 CASTANET-TOLO,E.E.PU,;290 DIR.EC.ELE 0119 8 CLASSES 100 %            1.00;928 TIT.R.ZIL 2584 SANS SPEC.100 %             1.00;1729 ENS.CL.ELE ECEL SANS SPEC.100 %    1.00    5.00;2071 ENS.CL.ELE ECEL ANGLAIS      100 %         1.00,119,NA,NA,NA,NA,1,9
PECHBONNIEU,*0311704J*,E.E.PU L'OLIVIER,10 CHEMIN DE LABASTIDOLE PECHBONNIEU Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 6 CASTELGINEST,E.E.PU,;384 DIR.EC.ELE 0119 11 CLASSES100 %            1.00;1010 TIT.R.ZIL 2584 SANS SPEC.100 %             1.00;1232 TIT.R.BRIG 2585 SANS SPEC.100 %            1.00;1863 ENS.CL.ELE ECEL SANS SPEC.100 %           10.00,119,NA,NA,1,NA,10,NA
PECHBONNIEU,*0311675C*,E.M.PU L'OLIVIER,PARVIS DE L'EUROPE PECHBONNIEU Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 6 CASTELGINEST,E.M.PU,;733 DIR.EC.MAT 0121 6 CLASSES 100 %            1.00;2471 ENS.CL.MA ECMA SANS SPEC.100 %             5.00,119,NA,NA,NA,5,NA,NA
PECHBUSQUE,*0310733D*,E.P.PU,3 PLACE GERMAIN GOUSSIS PECHBUSQUE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 10 CASTANET-TOLO,E.P.PU,;182 DIR.EC.ELE 0119 5 CLASSES 100 %            1.00;1730 ENS.CL.ELE ECEL SANS SPEC.100 %    1.00    2.00;2374 ENS.CL.MA ECMA SANS SPEC.100 %             1.00,119,NA,1,NA,1,2,NA
PEGUILHAN,*0312008P*,E.E.PU,VILLAGE PEGUILHAN Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 13 ST GAUDENS,E.E.PU,;80 DIR.EC.ELE 0119 2 CLASSES 100 %   1.00;1884 ENS.CL.ELE ECEL SANS SPEC.100 %            1.00,120,NA,NA,NA,NA,1,NA
PELLEPORT,*0310735F*,E.P.PU,VILLAGE PELLEPORT Midi-Pyrenees France,IEN:IEN HAUTE-GARONNE 26 LÉGUEVIN,E.P.PU,;114 DIR.EC.ELE 0119 3 CLASSES 100 %            1.00;2072 ENS.CL.ELE ECEL ANGLAIS      100 %         1.00;2375 ENS.CL.MA ECMA SANS SPEC.100 %             1.00,120,NA,NA,NA,1,1,NA
PEYSSIES,*0310738J*,E.E.PU,IMPASSE DES ECOLES PEYSSIES Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 12 RIEUX-VOLVES,E.E.PU,;64 DIR.EC.ELE 0119 2 CLASSES 100 %           1.00;1731 ENS.CL.ELE ECEL SANS SPEC.100 %            1.00,120,NA,NA,NA,NA,1,NA
PIBRAC,*0310740L*,E.E.PU BOIS DE LA BARTHE,AVENUE DU BOIS DE LA BARTHE PIBRAC Midi-Pyrenees France,IEN:IEN HAUTE-GARONNE 26 LÉGUEVIN,E.E.PU,;374 DIR.EC.ELE 0119 11 CLASSES100 %            1.00;929 TIT.R.ZIL 2584 SANS SPEC.100 %             1.00;1164 TIT.R.BRIG 2585 SANS SPEC.100 %            1.00;1732 ENS.CL.ELE ECEL SANS SPEC.100 %           10.00;2843 PSY.RESEAU PSYR SANS SPEC.100 %            1.00,120,NA,NA,NA,NA,10,NA
PIBRAC,*0311656G*,E.M.PU BOIS DE LA BARTHE,12 AVENUE DU BOIS DE LA BARTHE PIBRAC Midi-Pyrenees France,IEN:IEN HAUTE-GARONNE 26 LÉGUEVIN,E.M.PU,;676 DIR.EC.MAT 0121 5 CLASSES 100 %            1.00;2462 ENS.CL.MA ECMA SANS SPEC.100 %             4.00,120,NA,NA,NA,4,NA,NA
PIBRAC,*0312031P*,E.E.PU MAURICE FONVIEILLE,ESPLANADE SAINTE-GERMAINE PIBRAC Midi-Pyrenees France,IEN:IEN HAUTE-GARONNE 26 LÉGUEVIN,E.E.PU,;308 DIR.EC.ELE 0119 8 CLASSES 100 %            1.00;1888 ENS.CL.ELE ECEL SANS SPEC.100 %    1.00    5.00;2141 ENS.CL.ELE ECEL ANGLAIS      100 % 1.00,120,NA,1,NA,NA,NA,NA
PIBRAC,*0312076N*,E.M.PU MAURICE FONVIEILLE,2 RUE MAURICE FONVIEILLE PIBRAC Midi-Pyrenees France,IEN:IEN HAUTE-GARONNE 26 LÉGUEVIN,E.M.PU,;625 DIR.EC.MAT 0121 4 CLASSES 100 %            1.00;2555 ENS.CL.MA ECMA SANS SPEC.100 %     2.00    1.00,121,2,NA,NA,1,NA,NA
PINS JUSTARET,*0310745S*,E.E.PU JEAN JAURÈS,ROUTE DE SAUBENS PINS JUSTARET Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 14 PORTET SUR GARONNEI,E.E.PU,;401 DIR.EC.ELE 0119 12 CLASSES100 %            1.00;931 TIT.R.ZIL 2584 SANS SPEC.100 %             1.00;1734 ENS.CL.ELE ECEL SANS SPEC.100 %            9.00;2074 ENS.CL.ELE ECEL ANGLAIS      100 %         2.00;2844 PSY.RESEAU PSYR SANS SPEC.100 %            1.00,121,NA,NA,NA,NA,2,NA
PINS JUSTARET,*0311797K*,E.M.PU JEAN JAURÈS,ROUTE DE SAUBENS PINS JUSTARET Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 14 PORTET SUR GARONNEI,E.M.PU,;768 DIR.EC.MAT 0121 7 CLASSES 100 %            1.00;1240 TIT.R.BRIG 2585 SANS SPEC.100 %            1.00;2516 ENS.CL.MA ECMA SANS SPEC.100 %             5.00,121,NA,NA,NA,5,NA,NA
PINSAGUEL,*0311657H*,E.M.PU DE LA FONT,16 RUE DU RUISSEAU PINSAGUEL Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 14 PORTET SUR GARONNEI,E.M.PU,;599 DIR.EC.MAT 0121 4 CLASSES 100 %            1.00;2463 ENS.CL.MA ECMA SANS SPEC.100 %             3.00,121,NA,NA,NA,3,NA,NA
PINSAGUEL,*0310743P*,E.E.PU DU RUISSEAU,16 RUE DU RUISSEAU PINSAGUEL Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 14 PORTET SUR GARONNEI,E.E.PU,;246 DIR.EC.ELE 0119 7 CLASSES 100 %            1.00;930 TIT.R.ZIL 2584 SANS SPEC.100 %             1.00;1733 ENS.CL.ELE ECEL SANS SPEC.100 %            5.00;2073 ENS.CL.ELE ECEL ANGLAIS      100 %         1.00,121,NA,NA,NA,NA,1,NA
PLAISANCE DU TOUCH,*0312120L*,E.E.PU ALPHONSE DAUDET,4 AVENUE MONTAIGNE PLAISANCE DU TOUCH Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 16 TOURNEFEUILLE,E.E.PU,;460 DIR.EC.ELE 0119 15 CLASSES100 %            1.00;1040 TIT.R.ZIL 2584 SANS SPEC.100 %             1.00;1406 CLIS.1.MEN CHME OPTION D 100 %             1.00,121,NA,NA,NA,NA,NA,NA
PLAISANCE DU TOUCH,*0312120L*,E.E.PU ALPHONSE DAUDET,4 AVENUE MONTAIGNE PLAISANCE DU TOUCH Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 16 TOURNEFEUILLE,E.E.PU,;1904 ENS.CL.ELE ECEL SANS SPEC.100 %    1.00   10.00;2146 ENS.CL.ELE ECEL ANGLAIS      100 %         2.00;2774 MA.G.RES     MGR OPTION G 100 %            1.00;2877 PSY.RESEAU PSYR SANS SPEC.100 %            1.00,122,NA,NA,NA,NA,2,NA
PLAISANCE DU TOUCH,*0310748V*,E.E.PU JACQUES PRÉVERT,1 RUE DES FAUVETTES PLAISANCE DU TOUCH Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 16 TOURNEFEUILLE,E.E.PU,;442 DIR.EC.ELE 0119 14 CLASSES100 %            1.00;933 TIT.R.ZIL 2584 SANS SPEC.100 %             1.00;1736 ENS.CL.ELE ECEL SANS SPEC.100 %           11.00;2076 ENS.CL.ELE ECEL ANGLAIS      100 %         2.00;2845 PSY.RESEAU PSYR SANS SPEC.100 %            1.00,122,NA,NA,NA,NA,2,NA
PLAISANCE DU TOUCH,*0312455A*,E.P.PU LA RIVIÈRE,8 RUE D'ESTUJATS PLAISANCE DU TOUCH Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 16 TOURNEFEUILLE,E.P.PU,;422 DIR.EC.ELE 0119 12 CLASSES100 %            1.00;1295 TIT.R.BRIG 2585 SANS SPEC.100 %            1.00;1961 ENS.CL.ELE ECEL SANS SPEC.100 %            4.00;2182 ENS.CL.ELE ECEL ANGLAIS      100 %         2.00;2607 ENS.CL.MA ECMA SANS SPEC.100 %     1.00    4.00,122,1,NA,NA,4,2,NA
PLAISANCE DU TOUCH,*0312148S*,E.M.PU LE BLÉ EN HERBE,4 AVENUE MONTAIGNE PLAISANCE DU TOUCH Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 16 TOURNEFEUILLE,E.M.PU,;771 DIR.EC.MAT 0121 7 CLASSES 100 %            1.00;1265 TIT.R.BRIG 2585 SANS SPEC.100 %            1.00;2574 ENS.CL.MA ECMA SANS SPEC.100 %             6.00,122,NA,NA,NA,6,NA,NA
PLAISANCE DU TOUCH,*0311734S*,E.M.PU LES TROIS POMMES,12 RUE DE L'ANCIENN GARE PLAISANCE DU TOUCH Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 16 TOURNEFEUILLE,E.M.PU,;766 DIR.EC.MAT 0121 7 CLASSES 100 %            1.00;2491 ENS.CL.MA ECMA SANS SPEC.100 %             6.00,122,NA,NA,NA,6,NA,NA
PLAISANCE DU TOUCH,*0310747U*,E.E.PU MARCEL PAGNOL,9 RUE DES TILLEULS PLAISANCE DU TOUCH Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 16 TOURNEFEUILLE,E.E.PU,;425 DIR.EC.ELE 0119 13 CLASSES100 %            1.00;932 TIT.R.ZIL 2584 SANS SPEC.100 %     1.00;1735 ENS.CL.ELE ECEL SANS SPEC.100 %    3.00    6.00;2075 ENS.CL.ELE ECEL ANGLAIS      100 % 2.00    1.00,123,NA,2,NA,NA,1,NA
PLAISANCE DU TOUCH,*0311390T*,E.M.PU PAULINE KERGOMARD,1 RUE DES FAUVETTES PLAISANCE DU TOUCH Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 16 TOURNEFEUILLE,E.M.PU,;755 DIR.EC.MAT 0121 7 CLASSES 100 %            1.00;2425 ENS.CL.MA ECMA SANS SPEC.100 %             6.00,123,NA,NA,NA,6,NA,NA
POINTIS DE RIVIERE,*0310751Y*,E.P.PU,RUE PRINCIPALE POINTIS DE RIVIERE Midi-Pyrenees France,IEN:IEN HAUTE-GARONNE 25 HAUT COMMINGES,E.P.PU,;115 DIR.EC.ELE 0119 3 CLASSES 100 %            1.00;857 REMP.ST.LO 2558 SANS SPEC.100 %    1.00 REMPLACEMENT EN ASH;1737 ENS.CL.ELE ECEL SANS SPEC.100 %            1.00;2377 ENS.CL.MA ECMA SANS SPEC.100 %             1.00,123,NA,NA,NA,1,1,NA
POINTIS INARD,*0310753A*,E.P.PU,1 RUE DES ECOLES POINTIS INARD Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 13 ST GAUDENS,E.P.PU,;183 DIR.EC.ELE 0119 5 CLASSES 100 %    1.00;934 TIT.R.ZIL 2584 SANS SPEC.100 %             1.00;1738 ENS.CL.ELE ECEL SANS SPEC.100 %            2.00;2378 ENS.CL.MA ECMA SANS SPEC.100 %             2.00,123,NA,NA,NA,2,2,NA
POMPERTUZAT,*0310755C*,E.E.PU FERNAND PAULY,RUE DE LA TUILERIE POMPERTUZAT Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 10 CASTANET-TOLO,E.E.PU,;247 DIR.EC.ELE 0119 7 CLASSES 100 %            1.00;1165 TIT.R.BRIG 2585 SANS SPEC.100 %            1.00;1739 ENS.CL.ELE ECEL SANS SPEC.100 %            6.00,123,NA,NA,NA,NA,6,NA
POMPERTUZAT,*0311807W*,E.M.PU FERNAND PAULY,RUE DE LA TUILERIE POMPERTUZAT Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 10 CASTANET-TOLO,E.M.PU,;692 DIR.EC.MAT 0121 5 CLASSES 100 %            1.00;2523 ENS.CL.MA ECMA SANS SPEC.100 %             4.00,123,NA,NA,NA,4,NA,NA
PONLAT TAILLEBOURG,*0312784H*,E.M.PU,RUE DES ECOLES PONLAT TAILLEBOURG Midi-Pyrenees France,IEN:IEN HAUTE-GARONNE 25 HAUT COMMINGES,E.M.PU,;525 DIR.EC.MAT 0121 2 CLASSES 100 %            1.00;2646 ENS.CL.MA ECMA SANS SPEC.100 %             1.00,124,NA,NA,NA,1,NA,NA
PORTET SUR GARONNE,*0310762K*,E.E.PU CLAIRFONT,9 AVENUE DU GENERAL DE GAULLE PORTET SUR GARONNE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 14 PORTET SUR GARONNEI,E.E.PU,;324 DIR.EC.ELE 0119 9 CLASSES 100 %            1.00;936 TIT.R.ZIL 2584 SANS SPEC.100 %             1.00;1742 ENS.CL.ELE ECEL SANS SPEC.100 %            7.00;2079 ENS.CL.ELE ECEL ANGLAIS      100 %         1.00,124,NA,NA,NA,NA,1,NA
PORTET SUR GARONNE,*0312315Y*,E.M.PU CLAIRFONT,9 AVENUE DU GENERAL DE GAULLE PORTET SUR GARONNE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 14 PORTET SUR GARONNEI,E.M.PU,;633 DIR.EC.MAT 0121 4 CLASSES 100 %            1.00;838 REMP.ST.FC 2557 SANS SPEC.100 %            1.00;2592 ENS.CL.MA ECMA SANS SPEC.100 %             3.00,124,NA,NA,NA,3,NA,NA
PORTET SUR GARONNE,*0311881B*,E.M.PU GEORGE SAND,7 RUE GEORGE SAND PORTET SUR GARONNE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 14 PORTET SUR GARONNEI,E.M.PU,;514 DIR.EC.MAT 0121 2 CLASSES 100 %            1.00;1242 TIT.R.BRIG 2585 SANS SPEC.100 %            1.00;2525 ENS.CL.MA ECMA SANS SPEC.100 %             1.00,124,NA,NA,NA,1,NA,NA
PORTET SUR GARONNE,*0311105H*,IEN    HAUTE GARONNE 14 PORTET,1 RUE DE LA POSTE PORTET SUR GARONNE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 14 PORTET SUR GARONNEI,IEN,;1446 CP.ADJ.IEN CPC SANS SPEC.100 %             1.00;1474 CP.EPS       CPEP SANS SPEC.100 %  1.00,124,NA,NA,NA,NA,NA,NA
PORTET SUR GARONNE,*0310180C*,E.M.PU JACQUES PRÉVERT,11 RUE DESIRE PORTET SUR GARONNE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 14 PORTET SUR GARONNEI,E.M.PU,;577 DIR.EC.MAT 0121 4 CLASSES 100 %            1.00;2260 ENS.CL.MA ECMA SANS SPEC.100 %             3.00,124,NA,NA,NA,3,NA,NA
PORTET SUR GARONNE,*0310179B*,E.M.PU JEAN JAURÈS,ALLEES DES TILLEULS PORTET SUR GARONNE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 14 PORTET SUR GARONNEI,E.M.PU,;576 DIR.EC.MAT 0121 4 CLASSES 100 %            1.00;2259 ENS.CL.MA ECMA SANS SPEC.100 %             3.00;2764 MA.G.RES     MGR OPTION G 100 %            1.00;2932 REG.ADAP     RGA OPTION E 100 %            1.00,125,NA,NA,NA,3,NA,NA
