commune,id,nom,adresse,ien,niveau,descriptif,page,ENS.CL.MA_nbV,ENS.CL.ELE_nbV,T.R.S._nbV,ENS.CL.MA_nbSV,ENS.CL.ELE_nbSV,T.R.S._nbSV
TOULOUSE,*0312324H*REP,E.E.PU MAURICE JACQUIER,7 RUE DU POITOU TOULOUSE Midi-Pyrenees France,IEN:IEN HAUTE-GARONNE 19 GARONNE - PRE-ELEMI,E.E.PU,;2818 MAITRE SUP MSUP SANS SPEC.100 %           2.00,26,NA,NA,NA,NA,NA,NA
TOULOUSE,*0312276F*,E.E.PU MICHOUN,49 CHEMIN MICHOUN TOULOUSE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 5 TOULOUSE NORD,E.E.PU,;1536 DECH DIR    DCOM SANS SPEC.100 %          1.00;2815 MAITRE SUP MSUP SANS SPEC.100 %   1.00,26,NA,NA,NA,NA,NA,NA
TOULOUSE,*0311718Z*REP,CLG    NICOLAS VAUQUELIN,161 RUE VAUQUELIN TOULOUSE Midi-Pyrenees France,IEN:,CLG,;2983 ULIS        UPI OPTION D 100 %    1.00,26,NA,NA,NA,NA,NA,NA
TOULOUSE,*0310952S*,E.E.PU NORD,13 BOULEVARD D'ARCOLE TOULOUSE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 4 TOULOUSE PONT NEUF,E.E.PU,;2753 ENS.IT.SPE ITIN PRIMO ARRI100 %           1.00,26,NA,NA,NA,NA,NA,NA
TOULOUSE,*0312542V*RP+,E.E.PU PAPUS,46 ALLEE DE GUYENNE TOULOUSE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 1 TOULOUSE LES 2 RIVEI,E.E.PU,;1545 DECH DIR    DCOM SANS SPEC.100 %  1.00;2825 MAITRE SUP MSUP SANS SPEC.100 %           1.00,26,NA,NA,NA,NA,NA,NA
TOULOUSE,*0311305A*RP+,E.E.PU PAUL DOTTIN,10 RUE DU RECTEUR DOTTIN TOULOUSE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 2 TOULOUSE SUD,E.E.PU,;2795 MAITRE SUP MSUP SANS SPEC.100 %           1.00,26,NA,NA,NA,NA,NA,NA
TOULOUSE,*0312852G*,E.P.PU PONTS JUMEAUX,1 RUE HENRI DOCQUIERT TOULOUSE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 4 TOULOUSE PONT NEUF,E.P.PU,;1550 DECH DIR    DCOM SANS SPEC.100 %          1.00,26,NA,NA,NA,NA,NA,NA
TOULOUSE,*0312874F*,ITEP   PÔLE RIVE GARONNE,RUE TALABOT TOULOUSE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 21 TLSE ASH2,ITEP,;1502 CORPED      CPUE OPTION D 100 %           1.00,27,NA,NA,NA,NA,NA,NA
TOULOUSE,*0310054R*,LP     RENEE BONNET,1 ALLEE DU LIEUTENANT LAFAY TOULOUSE Midi-Pyrenees France,IEN:,LP,;2965 ULIS        UPI OPTION D 100 %            1.00,27,NA,NA,NA,NA,NA,NA
TOULOUSE,*0310203C*,E.M.A. RICARDIE 1,13 AVENUE MARCEL LANGER TOULOUSE Midi-Pyrenees France,IEN:IEN HAUTE-GARONNE 19 GARONNE - PRE-ELEMI,E.M.A.,;1506 DECH DIR    DCOM SANS SPEC.100 %          1.00,27,NA,NA,NA,NA,NA,NA
TOULOUSE,*0310160F*,E.E.A. RICARDIE 3,56 AVENUE DE L'URSS TOULOUSE Midi-Pyrenees France,IEN:IEN HAUTE-GARONNE 19 GARONNE - PRE-ELEMI,E.E.A.,;1503 DECH DIR    DCOM SANS SPEC.100 %          1.00,27,NA,NA,NA,NA,NA,NA
TOULOUSE,*0310052N*,LP LYC ROLAND GARROS,32 RUE MATHALY TOULOUSE Midi-Pyrenees France,IEN:,LP LYC,;2963 ULIS        UPI OPTION D 100 %            1.00,27,NA,NA,NA,NA,NA,NA
TOULOUSE,*0310988F*RP+,E.E.PU RONSARD,7 BIS RUE VESTREPAIN TOULOUSE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 4 TOULOUSE PONT NEUF,E.E.PU,;2793 MAITRE SUP MSUP SANS SPEC.100 %           1.00,27,NA,NA,NA,NA,NA,NA
TOULOUSE,*0312080T*,E.P.PU SEPT-DENIERS,110 ROUTE DE BLAGNAC TOULOUSE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 3 TOULOUSE RIVE GAUCHI,E.P.PU,;1525 DECH DIR    DCOM SANS SPEC.100 %          1.00,27,NA,NA,NA,NA,NA,NA
TOULOUSE,*0312174V*,E.E.PU SOUPETARD,37 RUE DE LA SOLIDARITE TOULOUSE Midi-Pyrenees France,IEN:IEN HAUTE-GARONNE 19 GARONNE - PRE-ELEMI,E.E.PU,;1529 DECH DIR    DCOM SANS SPEC.100 %            1.00;2808 MAITRE SUP MSUP SANS SPEC.100 %             1.00,28,NA,NA,NA,NA,NA,NA
TOULOUSE,*0312411C*RP+,E.E.PU SYLVAIN DAURIAC,41 RUE PAUL LAMBERT TOULOUSE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 1 TOULOUSE LES 2 RIVEI,E.E.PU,;2821 MAITRE SUP MSUP SANS SPEC.100 %             2.00 1 cycle 3 en lien,28,NA,NA,NA,NA,NA,NA
TOULOUSE,*0310053P*,LP LYC URBAIN VITRY,150 ROUTE DE LAUNAGUET TOULOUSE Midi-Pyrenees France,IEN:,LP LYC,;2964 ULIS        UPI OPTION D 100 %              1.00,28,NA,NA,NA,NA,NA,NA
